Country / Territory;ISO3;Region;CPI score 2021;CPI score 2020;Change since 2020;CPI score 2017;Change since 2017;CPI Score 2012;Change since 2012;;;;;;;
Mongolia;MNG;AP;35;35;0;36;-1;36;-1;;;;;;;
Malawi;MWI;SSA;35;30;5;31;4;37;-2;;;;;;;
El Salvador;SLV;AME;34;36;-2;33;1;38;-4;;;;;;;
Sierra Leone;SLE;SSA;34;33;1;30;4;31;3;;;;;;;
Algeria;DZA;MENA;33;36;-3;33;0;34;-1;;;;;;;
Philippines;PHL;AP;33;34;-1;34;-1;34;-1;;;;;;;
Egypt;EGY;MENA;33;33;0;32;1;32;1;;;;;;;
Nepal;NPL;AP;33;33;0;31;2;27;6;;;;;;;
Zambia;ZMB;SSA;33;33;0;37;-4;37;-4;;;;;;;
Eswatini;SWZ;SSA;32;33;-1;39;-7;37;-5;;;;;;;
Ukraine;UKR;ECA;32;33;-1;30;2;26;6;;;;;;;
Niger;NER;SSA;31;32;-1;33;-2;33;-2;;;;;;;
Mexico;MEX;AME;31;31;0;29;2;34;-3;;;;;;;
Gabon;GAB;SSA;31;30;1;32;-1;35;-4;;;;;;;
Papua New Guinea;PNG;AP;31;27;4;29;2;25;6;;;;;;;
Bolivia;BOL;AME;30;31;-1;33;-3;34;-4;;;;;;;
Kenya;KEN;SSA;30;31;-1;28;2;27;3;;;;;;;
Azerbaijan;AZE;ECA;30;30;0;31;-1;27;3;;;;;;;
Laos;LAO;AP;30;29;1;29;1;21;9;;;;;;;
Togo;TGO;SSA;30;29;1;32;-2;30;0;;;;;;;
Dominican Republic;DOM;AME;30;28;2;29;1;32;-2;;;;;;;
Paraguay;PRY;AME;30;28;2;29;1;25;5;;;;;;;
Djibouti;DJI;SSA;30;27;3;31;-1;36;-6;;;;;;;
Mali;MLI;SSA;29;30;-1;31;-2;34;-5;;;;;;;
Russia;RUS;ECA;29;30;-1;29;0;28;1;;;;;;;
Liberia;LBR;SSA;29;28;1;31;-2;41;-12;;;;;;;
Angola;AGO;SSA;29;27;2;19;10;22;7;;;;;;;
Pakistan;PAK;AP;28;31;-3;32;-4;27;1;;;;;;;
Mauritania;MRT;SSA;28;29;-1;28;0;31;-3;;;;;;;
Myanmar;MMR;AP;28;28;0;30;-2;15;13;;;;;;;
Uzbekistan;UZB;ECA;28;26;2;22;6;17;11;;;;;;;
Kyrgyzstan;KGZ;ECA;27;31;-4;29;-2;24;3;;;;;;;
Uganda;UGA;SSA;27;27;0;26;1;29;-2;;;;;;;
Cameroon;CMR;SSA;27;25;2;25;2;26;1;;;;;;;
Bangladesh;BGD;AP;26;26;0;28;-2;26;0;;;;;;;
Madagascar;MDG;SSA;26;25;1;24;2;32;-6;;;;;;;
Mozambique;MOZ;SSA;26;25;1;25;1;31;-5;;;;;;;
Guinea;GIN;SSA;25;28;-3;27;-2;24;1;;;;;;;
Guatemala;GTM;AME;25;25;0;28;-3;33;-8;;;;;;;
Iran;IRN;MENA;25;25;0;30;-5;28;-3;;;;;;;
Tajikistan;TJK;ECA;25;25;0;21;4;22;3;;;;;;;
Central African Republic;CAF;SSA;24;26;-2;23;1;26;-2;;;;;;;
Lebanon;LBN;MENA;24;25;-1;28;-4;30;-6;;;;;;;
Nigeria;NGA;SSA;24;25;-1;27;-3;27;-3;;;;;;;
Honduras;HND;AME;23;24;-1;29;-6;28;-5;;;;;;;
Zimbabwe;ZWE;SSA;23;24;-1;22;1;20;3;;;;;;;
Cambodia;KHM;AP;23;21;2;21;2;22;1;;;;;;;
Iraq;IRQ;MENA;23;21;2;18;5;18;5;;;;;;;
Eritrea;ERI;SSA;22;21;1;20;2;25;-3;;;;;;;
Congo;COG;SSA;21;19;2;21;0;26;-5;;;;;;;
Guinea Bissau;GNB;SSA;21;19;2;17;4;25;-4;;;;;;;
Nicaragua;NIC;AME;20;22;-2;26;-6;29;-9;;;;;;;
Chad;TCD;SSA;20;21;-1;20;0;19;1;;;;;;;
Comoros;COM;SSA;20;21;-1;27;-7;28;-8;;;;;;;
Haiti;HTI;AME;20;18;2;22;-2;19;1;;;;;;;
Sudan;SDN;SSA;20;16;4;16;4;13;7;;;;;;;
Burundi;BDI;SSA;19;19;0;22;-3;19;0;;;;;;;
Turkmenistan;TKM;ECA;19;19;0;19;0;17;2;;;;;;;
Democratic Republic of the Congo;COD;SSA;19;18;1;21;-2;21;-2;;;;;;;
Libya;LBY;MENA;17;17;0;17;0;21;-4;;;;;;;
Equatorial Guinea;GNQ;SSA;17;16;1;17;0;20;-3;;;;;;;
Afghanistan;AFG;AP;16;19;-3;15;1;8;8;;;;;;;
Korea, North;PRK;AP;16;18;-2;17;-1;8;8;;;;;;;
Yemen;YEM;MENA;16;15;1;16;0;23;-7;;;;;;;
Venezuela;VEN;AME;14;15;-1;18;-4;19;-5;;;;;;;
Syria;SYR;MENA;13;14;-1;14;-1;26;-13;;;;;;;
Somalia;SOM;SSA;13;12;1;9;4;8;5;;;;;;;
South Sudan;SSD;SSA;11;12;-1;12;-1;-;;;;;;;;
